"INDEX","COLLECTION","SEX","LENGTH","WIDTH","HEIGHT"
1,   "CMNH",       "F",  202, 156, 89
2,   "CMNH",       "F",  198, 153, 91
3,   "CMNH",       "F",  198, 153, 89
4,   "CMNH",       "F",  213, 164, 90
5,   "CMNH",       "F",  214, 165, 88
6,  "CMNH",       "F",  162, 132, 67
7,  "CMNH",       "F",  203, 157, 84
8,  "CMNH",       "F",  186, 150, 80
9,  "SREL",       "F",  196, 163, 85
10,  "SREL",       "F",  225, 183, 100
11,  "SREL",       "F",  220, 173, 98
12,  "SREL",       "F",  206, 157, 93
13,  "SREL",       "F",  237, 182, 109
14,  "SREL",       "F",  238, 180, 105
15,  "SREL",       "F",  246, 192, 103
16,  "SREL",       "F",  240, 176, 105
17,  "SREL",       "F",  149, 125, 66
18,  "SREL",       "F",  199, 163, 92
19,  "SREL",       "F",  223, 170, 105
20,  "SREL",       "F",  186, 145, 83
21,  "SREL",       "F",  228, 175, 100
22,  "SREL",       "F",  188, 149, 85
23,  "CMNH",       "F",  226, 176, 95
24,  "CMNH",       "M",  167, 139, 72
25,  "CMNH",       "M",  146, 111, 56
26,  "CMNH",       "M",  116, 95,  52
27,  "CMNH",       "M",  141, 110, 57
28,  "CMNH",       "M",  119, 97,  49
29,  "CMNH",       "M",  159, 124, 64
30,  "CMNH",       "M",  144, 117, 59
31,  "CMNH",       "M",  170, 131, 67
32,  "SREL",       "M",  201, 163, 86
33,  "SREL",       "M",  142, 117, 59
34,  "SREL",       "M",  165, 135, 73
35,  "SREL",       "M",  156, 125, 64
36,  "SREL",       "M",  184, 139, 73
37,  "SREL",       "M",  143, 117, 64
38,  "SREL",       "M",  160, 120, 68
39,  "SREL",       "M",  145, 117, 62
40,  "SREL",       "M",  160, 120, 65
41,  "SREL",       "M",  180, 138, 75
42,  "SREL",       "M",  189, 146, 83
43,  "SREL",       "M",  213, 168, 93
44,  "SREL",       "M",  177, 137, 76
45,  "SREL",       "M",  148, 122, 63
46,  "SREL",       "M",  217, 167, 97                                    
47,  "SREL",       "M",  134, 113, 59
48,  "SREL",       "M",  227, 173, 97
49,  "SREL",       "M",  158, 128, 73
50,  "SREL",       "M",  195, 153, 87
51,  "SREL",       "M",  161, 131, 70
52,  "SREL",       "M",  207, 163, 89
53,  "SREL",       "M",  170, 135, 74
54,  "SREL",       "M",  212, 162, 90

